ID,Location
1,c2r6s3
2,c4r8s4
3,c4r4s1
4,c4r1s2
5,c3r7s1
6,c2r2s5
7,c3r6s6
8,c1r1s3
9,c4r7s6
10,c1r8s6
11,c2r3s3
12,c1r1s4
13,c3r3s2
14,c2r1s4
15,c2r5s1
16,c2r4s6
17,c1r2s1
18,c2r8s4
19,c1r6s5
20,c4r2s6
21,c2r6s6
22,c2r6s2
23,c4r6s4
24,c4r4s2
25,c4r3s3
26,c2r1s1
27,c2r3s4
28,c2r2s2
29,c4r1s5
30,c4r5s2
31,c3r3s1
32,c2r7s3
33,c3r6s1
34,c3r1s4
35,c1r3s1
36,c4r7s2
37,c4r8s6
38,c2r4s3
39,c3r6s3
40,c2r4s4
41,c3r5s6
42,c4r3s4
43,c1r5s3
44,c3r7s3
45,c1r6s4
46,c1r6s3
47,c2r7s1
48,c1r3s6
49,c4r7s3
50,c2r2s4
51,c1r7s5
52,c2r7s6
53,c3r1s2
54,c2r7s5
55,c1r7s4
56,c4r8s5
57,c4r4s5
58,c4r3s5
59,c2r4s5
60,c2r3s2
61,c2r3s1
62,c4r7s4
63,c2r8s2
64,c4r6s3
65,c3r5s2
66,c1r8s2
67,c3r5s1
68,c2r1s3
69,c4r1s6
70,c3r8s3
71,c4r7s1
72,c3r7s4
73,c3r7s6
74,c2r8s3
75,c1r8s5
76,c3r8s6
77,c1r2s5
78,c4r5s3
79,c1r7s6
80,c2r4s2
81,c1r6s2
82,c1r2s2
83,c1r5s4
84,c3r4s3
85,c2r1s2
86,c1r8s3
87,c4r6s2
88,c3r3s6
89,c3r1s6
90,c1r8s1
91,c3r2s5
92,c4r2s5
93,c1r1s1
94,c2r6s4
95,c2r3s6
96,c1r3s3
97,c4r4s3
98,c1r4s3
99,c2r1s6
100,c2r7s4
101,c3r6s2
102,c3r2s4
103,c4r6s5
104,c1r4s4
105,c2r4s1
106,c4r3s6
107,c1r4s5
108,c2r5s4
109,c4r3s2
110,c1r7s1
111,c2r5s6
112,c1r7s2
113,c2r5s3
114,c4r6s1
115,c2r8s1
116,c4r2s4
117,c4r2s1
118,c3r3s5
119,c3r2s2
120,c4r1s3
121,c4r5s5
122,c1r3s5
123,c2r5s5
124,c3r6s5
125,c3r5s5
126,c2r2s1
127,c4r4s4
128,c2r1s5
129,c1r2s3
130,c4r5s4
131,c3r7s2
132,c1r5s1
133,c1r4s1
134,c4r8s2
135,c1r3s2
136,c3r4s6
137,c3r8s5
138,c3r3s3
139,c3r1s5
140,c1r5s5
141,c1r4s6
142,c2r6s5
143,c1r8s4
144,c4r5s6
145,c4r1s4
146,c4r3s1
147,c3r1s3
148,c3r3s4
149,c3r7s5
150,c3r6s4
151,c2r3s5
152,c3r1s1
153,c1r4s2
154,c3r8s4
155,c1r2s4
156,c2r5s2
157,c1r3s4
158,c4r2s2
159,c4r4s6
160,c3r8s2
161,c4r8s1
162,c3r5s4
163,c1r6s6
164,c4r5s1
165,c4r2s3
166,c3r4s5
167,c3r4s2
168,c3r8s1
169,c2r7s2
170,c4r8s3
171,c1r7s3
172,c3r4s1
173,c4r1s1
174,c4r6s6
175,c3r2s6
176,c3r4s4
177,c4r7s5
178,c2r2s3
179,c3r5s3
180,c2r8s6
181,c1r1s2
182,c3r2s1
183,c1r6s1
184,c1r5s6
185,c1r1s5
186,c2r8s5
187,c1r5s2
188,c2r2s6
189,c1r2s6
190,c1r1s6
191,c2r6s1
192,c3r2s3
